Id,fwd,lag_d,noc,gy,ay,noi,UMC,firm,MSA,tbm,tbru,PAG,npr,fpr,FT,FS
1,15,669,21,1998,1996,2,707,280070,261,13,0.60357,5366339.923,6,0,2,225
2,8,301,18,1990,1989,2,348,789656,538,1,0,4719510,1,0,2,310
3,75,1016,23,1997,1994,5,725,499570,13,6,0.61112,4893738,0,0,2,3
4,50,929,32,1997,1994,3,315,654319,553,4,0.375,4817136.25,0,5,3,64
5,18,1233,20,1999,1996,2,710,551495,261,2,0,5135114,0,0,2,14
6,15,945,24,1999,1997,2,704,654319,553,2,0.5,5415546,1,0,3,75
7,13,516,23,1997,1996,1,714,788148,51,7,0.449,5034142.571,0,0,2,82
8,5,862,8,1999,1997,4,345,280070,243,3,0.44445,5163325.667,0,0,2,240
9,4,949,5,1991,1988,1,382,597180,32,8,0.40626,3814150.25,6,0,6,
10,13,2021,12,1998,1993,1,386,358975,553,6,0.72224,5257530.167,0,0,3,252
11,24,1715,34,1994,1990,2,700,0,198,7,0.81637,4610451.143,0,0,1,
12,44,1037,30,1996,1994,1,345,0,108,6,0.83338,5228744.667,1,0,1,
13,38,830,36,1989,1987,1,705,0,260,6,0.50002,4546704.333,0,0,1,
14,24,1034,39,1999,1996,3,712,8075,261,10,0.34,5473061.5,6,0,2,12
15,2,998,6,1999,1996,1,711,250060,537,4,0.375,5445684,2,1,2,102
16,8,768,15,1999,1997,6,713,518955,261,45,0.67462,5075898.533,0,0,2,1
17,3,816,15,2000,1997,1,709,635240,252,8,0.65626,5643755.375,1,0,2,86
18,33,601,44,1998,1996,1,701,0,179,22,0.83063,4875034.818,18,0,1,
19,2,603,16,1996,1995,3,701,309510,69,12,0.66668,4867791.583,0,0,2,
20,7,775,8,1999,1997,1,703,0,553,0,0,0,7,0,1,
21,6,293,10,1996,1995,3,712,252865,553,10,0.78,4540591.9,0,0,3,331
22,3,1947,29,2000,1994,1,345,654319,553,8,0.56252,4866018.625,1,7,3,64
23,18,1890,3,1998,1993,1,235,0,232,9,0.6173,4687989.444,0,0,1,
24,11,519,18,1996,1994,1,345,280070,16,20,0.685,4732290.15,1,3,2,256
25,13,733,6,1999,1997,5,712,503380,261,18,0.57409,5029869,8,7,3,
26,25,868,11,1995,1993,5,709,161825,261,10,0.7,4786595.3,30,0,2,
27,50,573,16,1992,1990,4,345,280070,302,12,0.51391,4424310.5,1,0,2,383
28,23,641,16,1998,1996,1,709,280070,261,18,0.86426,5281286.611,3,0,2,225
29,39,782,34,1999,1997,2,345,745274,261,139,0.933,5036644.928,59,6,2,
30,14,963,64,2000,1997,1,705,280070,202,26,0.87879,5297216.577,176,0,2,240
31,84,1135,12,1983,1980,3,711,395480,111,8,0,4027512.75,0,0,2,67
32,7,519,12,1983,1981,1,84,615185,196,1,0,4287584,0,1,2,
33,32,915,17,1999,1996,1,707,250060,86,25,0.7968,5159576.6,2,1,2,102
34,0,635,12,1999,1997,2,600,0,254,16,0.22658,5114331.313,2,0,4,
35,42,705,5,1989,1987,1,236,0,47,6,0.50002,4103735,0,0,1,
36,17,1516,11,2000,1996,1,712,278220,261,7,0.4898,5260219.143,1,0,2,41
37,20,790,18,1999,1997,3,701,361536,282,8,0.75002,5295018.625,1,0,2,
38,19,539,10,1996,1995,1,702,686347,35,17,0.69897,5043377.882,0,0,2,
39,44,840,12,1996,1994,1,386,0,154,18,0.74077,4948190.944,0,0,1,
40,22,998,12,1999,1996,1,713,755619,108,9,0.79015,5303465.556,3,0,2,17
41,20,578,35,1996,1994,3,718,688601,238,7,0.40817,4850391.714,0,0,2,0
42,4,953,4,1985,1982,2,714,211480,553,6,0.27779,4083513.667,2,1,3,
43,21,662,42,1991,1989,1,351,561445,186,0,0,0,0,0,2,
44,3,1372,6,2000,1997,2,711,0,60,8,0.68752,5377390,0,0,1,
45,46,826,20,1998,1996,4,709,864047,260,6,0.50002,5344302.833,0,0,2,59
46,0,942,13,1998,1995,6,382,0,585,5,0.72,5043450.8,0,0,1,
47,40,946,36,1997,1994,3,704,731087,240,25,0.464,4676321.72,319,0,2,
48,40,1120,22,1999,1996,1,715,755443,515,16,0.79692,5569321.063,0,0,3,
49,36,1138,36,1984,1981,1,348,372675,538,3,0.66667,4053504.667,0,1,3,
50,3,600,8,1991,1989,3,700,40460,553,5,0.56,4427168.2,0,0,3,
51,5,945,20,1998,1995,4,703,503380,553,5,0.56,5362464.6,0,1,3,
52,2,1183,9,1998,1995,2,712,864017,553,17,0.70589,5169508.412,0,0,3,151
53,37,1016,22,1998,1995,2,704,154040,32,29,0.19027,4976097.448,5,0,2,
54,0,484,22,1997,1995,2,368,596125,156,12,0.86115,4995090.167,0,0,2,46
55,27,783,20,2000,1997,1,714,864050,238,11,0.57852,5643028.727,0,0,2,0
56,11,1035,16,1990,1987,1,712,147695,261,8,0.53126,4483066.125,0,0,2,94
57,20,1393,14,1998,1994,1,704,597215,302,3,0.66667,5311178.667,7,0,6,
58,10,1028,10,1999,1996,4,382,83775,261,10,0,5090001.2,0,0,2,0
59,93,1028,95,1995,1992,3,717,566545,588,7,0.73473,4805892.286,5,2,3,71
60,6,825,20,2000,1997,4,711,280070,168,3,0.66667,5711551.333,0,0,2,240
61,0,861,1,1999,1996,1,607,0,142,3,0.66667,5303368,0,0,1,
62,75,943,70,1999,1997,1,726,0,232,43,0.76153,5122554.93,0,0,1,
63,10,475,12,1996,1995,4,235,765963,47,4,0.75,4443279,0,1,2,
64,9,1016,18,1998,1995,5,375,864063,553,8,0.84378,5383838.75,0,1,3,
65,64,973,34,1998,1996,4,370,741172,302,18,0.29014,4774547.556,9,2,2,
66,20,456,14,1994,1993,2,250,250060,67,6,0.5,4819579.167,1,0,2,92
67,16,1173,4,2000,1996,1,701,361390,142,7,0.73471,5492256.857,0,0,2,63
68,8,974,24,1999,1997,1,706,512710,526,3,0.66667,5473864.667,1,2,3,379
69,5,427,5,1995,1993,3,718,280070,168,7,0.65307,4492650.857,0,0,2,301
70,25,896,24,1996,1994,1,715,373780,268,2,0,5447689.5,1,0,2,14
71,10,371,20,1997,1996,1,358,250060,31,4,0.5,5187767.25,0,0,2,102
72,4,663,20,1999,1997,1,323,105326,261,4,0.625,4911693.5,2,0,2,8
73,0,1128,10,2001,1997,3,710,386735,546,6,0.44445,5317080.667,1,0,2,139
74,12,601,2,1999,1997,4,712,280070,16,10,0.34,5292262.6,0,0,2,240
75,14,1000,30,1998,1995,1,345,373780,295,3,0.44445,5402808,0,0,2,15
76,113,552,44,1994,1992,1,235,0,538,11,0.56201,4736432.091,0,6,1,
77,48,984,56,2000,1997,2,701,767111,268,13,0.76927,5093858.385,11,0,2,
78,9,972,12,2000,1997,1,703,373440,261,45,0.83858,5692688.022,4,0,2,9
79,10,1226,39,1999,1995,2,712,8075,16,24,0.4792,5241039.417,10,8,2,11
80,6,809,21,1997,1995,1,711,278220,261,9,0.37039,5063601.667,0,0,2,32
81,3,572,14,1994,1993,2,33,706306,168,5,0.48,4883539,0,0,2,
82,3,895,15,1991,1989,1,701,192650,538,5,0.32,4607014.8,2,1,3,
83,24,1330,14,2000,1996,2,726,740509,538,2,0.5,5540858,3,3,2,0
84,16,704,16,1996,1994,2,700,136436,261,13,0.79294,4704627.538,0,0,2,
85,9,1058,12,1998,1995,1,703,716948,261,16,0.57034,4977205.438,0,0,2,
86,18,384,1,1992,1991,1,706,706518,168,3,0.66667,5016916.333,4,0,2,273
87,86,692,8,1987,1985,1,369,641610,147,7,0.6939,4309307,0,3,3,
88,5,1590,24,1999,1995,4,435,84230,254,3,0.44445,5437473.333,14,4,2,0
89,9,732,14,1981,1979,3,600,17175,515,4,0.625,4076028.75,0,0,3,
90,26,845,12,1999,1996,2,345,635240,261,16,0.4844,5316009.625,9,5,2,85
91,7,1463,60,1994,1990,1,345,654319,553,8,0.68752,4837069.125,1,1,3,44
92,6,663,26,1999,1997,2,716,90115,234,8,0.21876,5500397.125,11,0,2,
93,3,845,12,1999,1996,4,345,280070,261,3,0.44445,5441454.667,3,0,2,225
94,8,1309,14,1998,1995,2,717,0,506,2,0,5427780,2,0,1,
95,25,558,10,1996,1995,2,715,6885,260,4,0.375,5200590,15,0,2,1
96,60,691,1,1999,1997,4,726,280070,261,10,0.74,5539560.6,2,1,2,240
97,6,1299,68,1998,1994,2,718,566545,142,11,0.87608,5067611.182,1,1,3,69
98,24,1124,16,1999,1996,5,715,740227,261,11,0.80995,5639715,5,0,2,
99,33,880,103,1996,1994,2,714,33530,268,24,0.71185,4775443.708,49,0,2,
100,68,734,37,1998,1996,1,370,361691,52,40,0.76004,5237718.4,4,0,2,50
101,62,734,16,1997,1995,1,726,0,142,13,0.73378,5211434,0,0,1,
102,51,1653,16,1993,1989,2,717,147695,261,7,0.61227,4449418.857,0,0,2,121
